beta_coeff,value
Intercept,-0.04138320549445486
start_distance_to_goal,-0.02460713966013665
packing,-0.014102253781552653
pass_angle,0.0007301964586735135
pass_length,0.0034526360464611837
end_distance_to_goal,-0.033514787512197136
start_angle_to_goal,0.032617682395194615
start_distance_to_sideline,0.01527627052482974
teammates_beyond,-0.0510960231641158
opponents_beyond,-0.0610876450671013
teammates_nearby,-0.09779254271532381
opponents_between,0.008988582838887278
opponents_nearby,-0.06867514050190211
speed_difference,-0.059649228048292306
